Strain,Mutations,Number/ID,Tet Conc.,Date Recorded,Time,Well Number,Well Reading
BW25113,ΔacrAB ΔmdtK,JOE7051,0 ng/mL,9/13/2022,0:00,H8,0.097
BW25113,ΔacrAB ΔmdtK,JOE7052,0 ng/mL,9/13/2022,0:00,H9,0.098
BW25113,wt,JOE6970,625 ng/mL,7/25/2022,0:29,C4,0.103
BW25113,ΔmdtK::kan,JOE6971,625 ng/mL,7/25/2022,0:29,C5,0.096
BW25113,ΔacrAB::kan,JOE6974,625 ng/mL,7/25/2022,0:29,C6,0.093
BW25113,ΔacrAB,JOE6975,625 ng/mL,7/25/2022,0:29,C7,0.096
BW25113,ΔacrAB ΔmdtK,JOE7051,625 ng/mL,7/25/2022,0:29,C8,0.096
BW25113,ΔacrAB ΔmdtK,JOE7052,625 ng/mL,7/25/2022,0:29,C9,0.096
BW25113,wt,JOE6970,313 ng/mL,7/25/2022,0:29,D4,0.099
BW25113,ΔmdtK::kan,JOE6971,313 ng/mL,7/25/2022,0:29,D5,0.099
BW25113,ΔacrAB::kan,JOE6974,313 ng/mL,7/25/2022,0:29,D6,0.095
BW25113,ΔacrAB,JOE6975,313 ng/mL,7/25/2022,0:29,D7,0.096
BW25113,ΔacrAB ΔmdtK,JOE7051,313 ng/mL,7/25/2022,0:29,D8,0.095
BW25113,ΔacrAB ΔmdtK,JOE7052,313 ng/mL,7/25/2022,0:29,D9,0.099
BW25113,wt,JOE6970,156 ng/mL,7/25/2022,0:29,E4,0.097
BW25113,ΔmdtK::kan,JOE6971,156 ng/mL,7/25/2022,0:29,E5,0.098
BW25113,ΔacrAB::kan,JOE6974,156 ng/mL,7/25/2022,0:29,E6,0.097
BW25113,ΔacrAB,JOE6975,156 ng/mL,7/25/2022,0:29,E7,0.096
BW25113,ΔacrAB ΔmdtK,JOE7051,156 ng/mL,7/25/2022,0:29,E8,0.098
BW25113,ΔacrAB ΔmdtK,JOE7052,156 ng/mL,7/25/2022,0:29,E9,0.096
BW25113,wt,JOE6970,78 ng/mL,7/25/2022,0:29,F4,0.097
BW25113,ΔmdtK::kan,JOE6971,78 ng/mL,7/25/2022,0:29,F5,0.097
BW25113,ΔacrAB::kan,JOE6974,78 ng/mL,7/25/2022,0:29,F6,0.097
BW25113,ΔacrAB,JOE6975,78 ng/mL,7/25/2022,0:29,F7,0.095
BW25113,ΔacrAB ΔmdtK,JOE7051,78 ng/mL,7/25/2022,0:29,F8,0.095
BW25113,ΔacrAB ΔmdtK,JOE7052,78 ng/mL,7/25/2022,0:29,F9,0.099
BW25113,wt,JOE6970,0 ng/mL,7/25/2022,0:29,H4,0.097
BW25113,ΔmdtK::kan,JOE6971,0 ng/mL,7/25/2022,0:29,H5,0.099
BW25113,ΔacrAB::kan,JOE6974,0 ng/mL,7/25/2022,0:29,H6,0.099
BW25113,ΔacrAB,JOE6975,0 ng/mL,7/25/2022,0:29,H7,0.097
BW25113,ΔacrAB ΔmdtK,JOE7051,0 ng/mL,7/25/2022,0:29,H8,0.098
BW25113,ΔacrAB ΔmdtK,JOE7052,0 ng/mL,7/25/2022,0:29,H9,0.103
BW25113,wt,JOE6970,625 ng/mL,9/13/2022,0:29,C4,0.098
BW25113,ΔmdtK::kan,JOE6971,625 ng/mL,9/13/2022,0:29,C5,0.096
BW25113,ΔacrAB::kan,JOE6974,625 ng/mL,9/13/2022,0:29,C6,0.095
BW25113,ΔacrAB,JOE6975,625 ng/mL,9/13/2022,0:29,C7,0.095
BW25113,ΔacrAB ΔmdtK,JOE7051,625 ng/mL,9/13/2022,0:29,C8,0.094
BW25113,ΔacrAB ΔmdtK,JOE7052,625 ng/mL,9/13/2022,0:29,C9,0.096
BW25113,wt,JOE6970,313 ng/mL,9/13/2022,0:29,D4,0.099
BW25113,ΔmdtK::kan,JOE6971,313 ng/mL,9/13/2022,0:29,D5,0.098
BW25113,ΔacrAB::kan,JOE6974,313 ng/mL,9/13/2022,0:29,D6,0.095
BW25113,ΔacrAB,JOE6975,313 ng/mL,9/13/2022,0:29,D7,0.094
BW25113,ΔacrAB ΔmdtK,JOE7051,313 ng/mL,9/13/2022,0:29,D8,0.099
BW25113,ΔacrAB ΔmdtK,JOE7052,313 ng/mL,9/13/2022,0:29,D9,0.097
BW25113,wt,JOE6970,156 ng/mL,9/13/2022,0:29,E4,0.099
BW25113,ΔmdtK::kan,JOE6971,156 ng/mL,9/13/2022,0:29,E5,0.097
BW25113,ΔacrAB::kan,JOE6974,156 ng/mL,9/13/2022,0:29,E6,0.096
BW25113,ΔacrAB,JOE6975,156 ng/mL,9/13/2022,0:29,E7,0.095
BW25113,ΔacrAB ΔmdtK,JOE7051,156 ng/mL,9/13/2022,0:29,E8,0.098
BW25113,ΔacrAB ΔmdtK,JOE7052,156 ng/mL,9/13/2022,0:29,E9,0.097
BW25113,wt,JOE6970,78 ng/mL,9/13/2022,0:29,F4,0.097
BW25113,ΔmdtK::kan,JOE6971,78 ng/mL,9/13/2022,0:29,F5,0.098
BW25113,ΔacrAB::kan,JOE6974,78 ng/mL,9/13/2022,0:29,F6,0.095
BW25113,ΔacrAB,JOE6975,78 ng/mL,9/13/2022,0:29,F7,0.095
BW25113,ΔacrAB ΔmdtK,JOE7051,78 ng/mL,9/13/2022,0:29,F8,0.096
BW25113,ΔacrAB ΔmdtK,JOE7052,78 ng/mL,9/13/2022,0:29,F9,0.098
BW25113,wt,JOE6970,0 ng/mL,9/13/2022,0:29,H4,0.099
BW25113,ΔmdtK::kan,JOE6971,0 ng/mL,9/13/2022,0:29,H5,0.098
BW25113,ΔacrAB::kan,JOE6974,0 ng/mL,9/13/2022,0:29,H6,0.098
BW25113,ΔacrAB,JOE6975,0 ng/mL,9/13/2022,0:29,H7,0.099
BW25113,ΔacrAB ΔmdtK,JOE7051,0 ng/mL,9/13/2022,0:29,H8,0.099
BW25113,ΔacrAB ΔmdtK,JOE7052,0 ng/mL,9/13/2022,0:29,H9,0.099
BW25113,wt,JOE6970,625 ng/mL,7/25/2022,0:59,C4,0.104
BW25113,ΔmdtK::kan,JOE6971,625 ng/mL,7/25/2022,0:59,C5,0.097
BW25113,ΔacrAB::kan,JOE6974,625 ng/mL,7/25/2022,0:59,C6,0.093
BW25113,ΔacrAB,JOE6975,625 ng/mL,7/25/2022,0:59,C7,0.096
BW25113,ΔacrAB ΔmdtK,JOE7051,625 ng/mL,7/25/2022,0:59,C8,0.096
BW25113,ΔacrAB ΔmdtK,JOE7052,625 ng/mL,7/25/2022,0:59,C9,0.096
BW25113,wt,JOE6970,313 ng/mL,7/25/2022,0:59,D4,0.1
BW25113,ΔmdtK::kan,JOE6971,313 ng/mL,7/25/2022,0:59,D5,0.101
BW25113,ΔacrAB::kan,JOE6974,313 ng/mL,7/25/2022,0:59,D6,0.095
BW25113,ΔacrAB,JOE6975,313 ng/mL,7/25/2022,0:59,D7,0.096
BW25113,ΔacrAB ΔmdtK,JOE7051,313 ng/mL,7/25/2022,0:59,D8,0.095
BW25113,ΔacrAB ΔmdtK,JOE7052,313 ng/mL,7/25/2022,0:59,D9,0.099
BW25113,wt,JOE6970,156 ng/mL,7/25/2022,0:59,E4,0.1
BW25113,ΔmdtK::kan,JOE6971,156 ng/mL,7/25/2022,0:59,E5,0.1
BW25113,ΔacrAB::kan,JOE6974,156 ng/mL,7/25/2022,0:59,E6,0.097
BW25113,ΔacrAB,JOE6975,156 ng/mL,7/25/2022,0:59,E7,0.096
BW25113,ΔacrAB ΔmdtK,JOE7051,156 ng/mL,7/25/2022,0:59,E8,0.099
BW25113,ΔacrAB ΔmdtK,JOE7052,156 ng/mL,7/25/2022,0:59,E9,0.097
BW25113,wt,JOE6970,78 ng/mL,7/25/2022,0:59,F4,0.1
BW25113,ΔmdtK::kan,JOE6971,78 ng/mL,7/25/2022,0:59,F5,0.1
BW25113,ΔacrAB::kan,JOE6974,78 ng/mL,7/25/2022,0:59,F6,0.099
BW25113,ΔacrAB,JOE6975,78 ng/mL,7/25/2022,0:59,F7,0.097
BW25113,ΔacrAB ΔmdtK,JOE7051,78 ng/mL,7/25/2022,0:59,F8,0.097
BW25113,ΔacrAB ΔmdtK,JOE7052,78 ng/mL,7/25/2022,0:59,F9,0.1
BW25113,wt,JOE6970,0 ng/mL,7/25/2022,0:59,H4,0.102
BW25113,ΔmdtK::kan,JOE6971,0 ng/mL,7/25/2022,0:59,H5,0.102
BW25113,ΔacrAB::kan,JOE6974,0 ng/mL,7/25/2022,0:59,H6,0.103
BW25113,ΔacrAB,JOE6975,0 ng/mL,7/25/2022,0:59,H7,0.102
BW25113,ΔacrAB ΔmdtK,JOE7051,0 ng/mL,7/25/2022,0:59,H8,0.102
BW25113,ΔacrAB ΔmdtK,JOE7052,0 ng/mL,7/25/2022,0:59,H9,0.106
BW25113,wt,JOE6970,625 ng/mL,9/13/2022,0:59,C4,0.098
BW25113,ΔmdtK::kan,JOE6971,625 ng/mL,9/13/2022,0:59,C5,0.096
BW25113,ΔacrAB::kan,JOE6974,625 ng/mL,9/13/2022,0:59,C6,0.095
BW25113,ΔacrAB,JOE6975,625 ng/mL,9/13/2022,0:59,C7,0.095
BW25113,ΔacrAB ΔmdtK,JOE7051,625 ng/mL,9/13/2022,0:59,C8,0.094
BW25113,ΔacrAB ΔmdtK,JOE7052,625 ng/mL,9/13/2022,0:59,C9,0.096
BW25113,wt,JOE6970,313 ng/mL,9/13/2022,0:59,D4,0.1
BW25113,ΔmdtK::kan,JOE6971,313 ng/mL,9/13/2022,0:59,D5,0.099
BW25113,ΔacrAB::kan,JOE6974,313 ng/mL,9/13/2022,0:59,D6,0.095
BW25113,ΔacrAB,JOE6975,313 ng/mL,9/13/2022,0:59,D7,0.095
BW25113,ΔacrAB ΔmdtK,JOE7051,313 ng/mL,9/13/2022,0:59,D8,0.099
BW25113,ΔacrAB ΔmdtK,JOE7052,313 ng/mL,9/13/2022,0:59,D9,0.097
BW25113,wt,JOE6970,156 ng/mL,9/13/2022,0:59,E4,0.101
BW25113,ΔmdtK::kan,JOE6971,156 ng/mL,9/13/2022,0:59,E5,0.099
BW25113,ΔacrAB::kan,JOE6974,156 ng/mL,9/13/2022,0:59,E6,0.096
BW25113,ΔacrAB,JOE6975,156 ng/mL,9/13/2022,0:59,E7,0.095
BW25113,ΔacrAB ΔmdtK,JOE7051,156 ng/mL,9/13/2022,0:59,E8,0.098
BW25113,ΔacrAB ΔmdtK,JOE7052,156 ng/mL,9/13/2022,0:59,E9,0.098
BW25113,wt,JOE6970,78 ng/mL,9/13/2022,0:59,F4,0.1
BW25113,ΔmdtK::kan,JOE6971,78 ng/mL,9/13/2022,0:59,F5,0.101
BW25113,ΔacrAB::kan,JOE6974,78 ng/mL,9/13/2022,0:59,F6,0.096
BW25113,ΔacrAB,JOE6975,78 ng/mL,9/13/2022,0:59,F7,0.096
BW25113,ΔacrAB ΔmdtK,JOE7051,78 ng/mL,9/13/2022,0:59,F8,0.097
BW25113,ΔacrAB ΔmdtK,JOE7052,78 ng/mL,9/13/2022,0:59,F9,0.099
BW25113,wt,JOE6970,0 ng/mL,9/13/2022,0:59,H4,0.103
BW25113,ΔmdtK::kan,JOE6971,0 ng/mL,9/13/2022,0:59,H5,0.102
BW25113,ΔacrAB::kan,JOE6974,0 ng/mL,9/13/2022,0:59,H6,0.1
BW25113,ΔacrAB,JOE6975,0 ng/mL,9/13/2022,0:59,H7,0.102
BW25113,ΔacrAB ΔmdtK,JOE7051,0 ng/mL,9/13/2022,0:59,H8,0.103
BW25113,ΔacrAB ΔmdtK,JOE7052,0 ng/mL,9/13/2022,0:59,H9,0.103
BW25113,wt,JOE6970,625 ng/mL,7/25/2022,1:29,C4,0.106
BW25113,ΔmdtK::kan,JOE6971,625 ng/mL,7/25/2022,1:29,C5,0.098
BW25113,ΔacrAB::kan,JOE6974,625 ng/mL,7/25/2022,1:29,C6,0.094
BW25113,ΔacrAB,JOE6975,625 ng/mL,7/25/2022,1:29,C7,0.096
BW25113,ΔacrAB ΔmdtK,JOE7051,625 ng/mL,7/25/2022,1:29,C8,0.096
BW25113,ΔacrAB ΔmdtK,JOE7052,625 ng/mL,7/25/2022,1:29,C9,0.097
BW25113,wt,JOE6970,313 ng/mL,7/25/2022,1:29,D4,0.102
BW25113,ΔmdtK::kan,JOE6971,313 ng/mL,7/25/2022,1:29,D5,0.102
BW25113,ΔacrAB::kan,JOE6974,313 ng/mL,7/25/2022,1:29,D6,0.095
BW25113,ΔacrAB,JOE6975,313 ng/mL,7/25/2022,1:29,D7,0.097
BW25113,ΔacrAB ΔmdtK,JOE7051,313 ng/mL,7/25/2022,1:29,D8,0.096
BW25113,ΔacrAB ΔmdtK,JOE7052,313 ng/mL,7/25/2022,1:29,D9,0.1
BW25113,wt,JOE6970,156 ng/mL,7/25/2022,1:29,E4,0.103
BW25113,ΔmdtK::kan,JOE6971,156 ng/mL,7/25/2022,1:29,E5,0.104
BW25113,ΔacrAB::kan,JOE6974,156 ng/mL,7/25/2022,1:29,E6,0.098
BW25113,ΔacrAB,JOE6975,156 ng/mL,7/25/2022,1:29,E7,0.097
BW25113,ΔacrAB ΔmdtK,JOE7051,156 ng/mL,7/25/2022,1:29,E8,0.099
BW25113,ΔacrAB ΔmdtK,JOE7052,156 ng/mL,7/25/2022,1:29,E9,0.098
BW25113,wt,JOE6970,78 ng/mL,7/25/2022,1:29,F4,0.106
BW25113,ΔmdtK::kan,JOE6971,78 ng/mL,7/25/2022,1:29,F5,0.105
BW25113,ΔacrAB::kan,JOE6974,78 ng/mL,7/25/2022,1:29,F6,0.1
BW25113,ΔacrAB,JOE6975,78 ng/mL,7/25/2022,1:29,F7,0.099
BW25113,ΔacrAB ΔmdtK,JOE7051,78 ng/mL,7/25/2022,1:29,F8,0.098
BW25113,ΔacrAB ΔmdtK,JOE7052,78 ng/mL,7/25/2022,1:29,F9,0.101
BW25113,wt,JOE6970,0 ng/mL,7/25/2022,1:29,H4,0.111
BW25113,ΔmdtK::kan,JOE6971,0 ng/mL,7/25/2022,1:29,H5,0.111
BW25113,ΔacrAB::kan,JOE6974,0 ng/mL,7/25/2022,1:29,H6,0.111
BW25113,ΔacrAB,JOE6975,0 ng/mL,7/25/2022,1:29,H7,0.11
BW25113,ΔacrAB ΔmdtK,JOE7051,0 ng/mL,7/25/2022,1:29,H8,0.111
BW25113,ΔacrAB ΔmdtK,JOE7052,0 ng/mL,7/25/2022,1:29,H9,0.113
BW25113,wt,JOE6970,625 ng/mL,9/13/2022,1:29,C4,0.099
BW25113,ΔmdtK::kan,JOE6971,625 ng/mL,9/13/2022,1:29,C5,0.097
BW25113,ΔacrAB::kan,JOE6974,625 ng/mL,9/13/2022,1:29,C6,0.095
BW25113,ΔacrAB,JOE6975,625 ng/mL,9/13/2022,1:29,C7,0.095
BW25113,ΔacrAB ΔmdtK,JOE7051,625 ng/mL,9/13/2022,1:29,C8,0.095
BW25113,ΔacrAB ΔmdtK,JOE7052,625 ng/mL,9/13/2022,1:29,C9,0.096
BW25113,wt,JOE6970,313 ng/mL,9/13/2022,1:29,D4,0.102
BW25113,ΔmdtK::kan,JOE6971,313 ng/mL,9/13/2022,1:29,D5,0.101
BW25113,ΔacrAB::kan,JOE6974,313 ng/mL,9/13/2022,1:29,D6,0.095
BW25113,ΔacrAB,JOE6975,313 ng/mL,9/13/2022,1:29,D7,0.095
BW25113,ΔacrAB ΔmdtK,JOE7051,313 ng/mL,9/13/2022,1:29,D8,0.099
BW25113,ΔacrAB ΔmdtK,JOE7052,313 ng/mL,9/13/2022,1:29,D9,0.097
BW25113,wt,JOE6970,156 ng/mL,9/13/2022,1:29,E4,0.105
BW25113,ΔmdtK::kan,JOE6971,156 ng/mL,9/13/2022,1:29,E5,0.102
BW25113,ΔacrAB::kan,JOE6974,156 ng/mL,9/13/2022,1:29,E6,0.097
BW25113,ΔacrAB,JOE6975,156 ng/mL,9/13/2022,1:29,E7,0.096
BW25113,ΔacrAB ΔmdtK,JOE7051,156 ng/mL,9/13/2022,1:29,E8,0.099
BW25113,ΔacrAB ΔmdtK,JOE7052,156 ng/mL,9/13/2022,1:29,E9,0.098
BW25113,wt,JOE6970,78 ng/mL,9/13/2022,1:29,F4,0.106
BW25113,ΔmdtK::kan,JOE6971,78 ng/mL,9/13/2022,1:29,F5,0.105
BW25113,ΔacrAB::kan,JOE6974,78 ng/mL,9/13/2022,1:29,F6,0.097
BW25113,ΔacrAB,JOE6975,78 ng/mL,9/13/2022,1:29,F7,0.097
BW25113,ΔacrAB ΔmdtK,JOE7051,78 ng/mL,9/13/2022,1:29,F8,0.099
BW25113,ΔacrAB ΔmdtK,JOE7052,78 ng/mL,9/13/2022,1:29,F9,0.1
BW25113,wt,JOE6970,0 ng/mL,9/13/2022,1:29,H4,0.112
BW25113,ΔmdtK::kan,JOE6971,0 ng/mL,9/13/2022,1:29,H5,0.109
BW25113,ΔacrAB::kan,JOE6974,0 ng/mL,9/13/2022,1:29,H6,0.106
BW25113,ΔacrAB,JOE6975,0 ng/mL,9/13/2022,1:29,H7,0.109
BW25113,ΔacrAB ΔmdtK,JOE7051,0 ng/mL,9/13/2022,1:29,H8,0.111
BW25113,ΔacrAB ΔmdtK,JOE7052,0 ng/mL,9/13/2022,1:29,H9,0.11
BW25113,wt,JOE6970,625 ng/mL,7/25/2022,1:59,C4,0.107
BW25113,ΔmdtK::kan,JOE6971,625 ng/mL,7/25/2022,1:59,C5,0.099
BW25113,ΔacrAB::kan,JOE6974,625 ng/mL,7/25/2022,1:59,C6,0.094
BW25113,ΔacrAB,JOE6975,625 ng/mL,7/25/2022,1:59,C7,0.097
BW25113,ΔacrAB ΔmdtK,JOE7051,625 ng/mL,7/25/2022,1:59,C8,0.096
BW25113,ΔacrAB ΔmdtK,JOE7052,625 ng/mL,7/25/2022,1:59,C9,0.097
BW25113,wt,JOE6970,313 ng/mL,7/25/2022,1:59,D4,0.106
BW25113,ΔmdtK::kan,JOE6971,313 ng/mL,7/25/2022,1:59,D5,0.105
BW25113,ΔacrAB::kan,JOE6974,313 ng/mL,7/25/2022,1:59,D6,0.096
BW25113,ΔacrAB,JOE6975,313 ng/mL,7/25/2022,1:59,D7,0.097
BW25113,ΔacrAB ΔmdtK,JOE7051,313 ng/mL,7/25/2022,1:59,D8,0.096
BW25113,ΔacrAB ΔmdtK,JOE7052,313 ng/mL,7/25/2022,1:59,D9,0.1
BW25113,wt,JOE6970,156 ng/mL,7/25/2022,1:59,E4,0.11
BW25113,ΔmdtK::kan,JOE6971,156 ng/mL,7/25/2022,1:59,E5,0.11
BW25113,ΔacrAB::kan,JOE6974,156 ng/mL,7/25/2022,1:59,E6,0.099
BW25113,ΔacrAB,JOE6975,156 ng/mL,7/25/2022,1:59,E7,0.098
BW25113,ΔacrAB ΔmdtK,JOE7051,156 ng/mL,7/25/2022,1:59,E8,0.099
BW25113,ΔacrAB ΔmdtK,JOE7052,156 ng/mL,7/25/2022,1:59,E9,0.099
BW25113,wt,JOE6970,78 ng/mL,7/25/2022,1:59,F4,0.118
BW25113,ΔmdtK::kan,JOE6971,78 ng/mL,7/25/2022,1:59,F5,0.116
BW25113,ΔacrAB::kan,JOE6974,78 ng/mL,7/25/2022,1:59,F6,0.102
BW25113,ΔacrAB,JOE6975,78 ng/mL,7/25/2022,1:59,F7,0.101
BW25113,ΔacrAB ΔmdtK,JOE7051,78 ng/mL,7/25/2022,1:59,F8,0.1
BW25113,ΔacrAB ΔmdtK,JOE7052,78 ng/mL,7/25/2022,1:59,F9,0.103
BW25113,wt,JOE6970,0 ng/mL,7/25/2022,1:59,H4,0.128
BW25113,ΔmdtK::kan,JOE6971,0 ng/mL,7/25/2022,1:59,H5,0.127
BW25113,ΔacrAB::kan,JOE6974,0 ng/mL,7/25/2022,1:59,H6,0.129
BW25113,ΔacrAB,JOE6975,0 ng/mL,7/25/2022,1:59,H7,0.126
BW25113,ΔacrAB ΔmdtK,JOE7051,0 ng/mL,7/25/2022,1:59,H8,0.126
BW25113,ΔacrAB ΔmdtK,JOE7052,0 ng/mL,7/25/2022,1:59,H9,0.128
BW25113,wt,JOE6970,625 ng/mL,9/13/2022,1:59,C4,0.101
BW25113,ΔmdtK::kan,JOE6971,625 ng/mL,9/13/2022,1:59,C5,0.098
BW25113,ΔacrAB::kan,JOE6974,625 ng/mL,9/13/2022,1:59,C6,0.095
BW25113,ΔacrAB,JOE6975,625 ng/mL,9/13/2022,1:59,C7,0.095
BW25113,ΔacrAB ΔmdtK,JOE7051,625 ng/mL,9/13/2022,1:59,C8,0.095
BW25113,ΔacrAB ΔmdtK,JOE7052,625 ng/mL,9/13/2022,1:59,C9,0.096
BW25113,wt,JOE6970,313 ng/mL,9/13/2022,1:59,D4,0.106
BW25113,ΔmdtK::kan,JOE6971,313 ng/mL,9/13/2022,1:59,D5,0.103
BW25113,ΔacrAB::kan,JOE6974,313 ng/mL,9/13/2022,1:59,D6,0.095
BW25113,ΔacrAB,JOE6975,313 ng/mL,9/13/2022,1:59,D7,0.095
BW25113,ΔacrAB ΔmdtK,JOE7051,313 ng/mL,9/13/2022,1:59,D8,0.099
BW25113,ΔacrAB ΔmdtK,JOE7052,313 ng/mL,9/13/2022,1:59,D9,0.098
BW25113,wt,JOE6970,156 ng/mL,9/13/2022,1:59,E4,0.111
BW25113,ΔmdtK::kan,JOE6971,156 ng/mL,9/13/2022,1:59,E5,0.108
BW25113,ΔacrAB::kan,JOE6974,156 ng/mL,9/13/2022,1:59,E6,0.097
BW25113,ΔacrAB,JOE6975,156 ng/mL,9/13/2022,1:59,E7,0.096
BW25113,ΔacrAB ΔmdtK,JOE7051,156 ng/mL,9/13/2022,1:59,E8,0.1
BW25113,ΔacrAB ΔmdtK,JOE7052,156 ng/mL,9/13/2022,1:59,E9,0.099
BW25113,wt,JOE6970,78 ng/mL,9/13/2022,1:59,F4,0.116
BW25113,ΔmdtK::kan,JOE6971,78 ng/mL,9/13/2022,1:59,F5,0.114
BW25113,ΔacrAB::kan,JOE6974,78 ng/mL,9/13/2022,1:59,F6,0.098
BW25113,ΔacrAB,JOE6975,78 ng/mL,9/13/2022,1:59,F7,0.099
