Strain,Mutations,Number/ID,Nor Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,1:59,G3,0.093
BL21,wt,JOE2354,0 ng/mL,6-Sep,1:59,H2,0.111
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,1:59,H3,0.094
BL21,wt,JOE2354,5 ng/mL,20-Sep,1:59,F2,0.143
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,1:59,F3,0.105
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,1:59,G2,0.138
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,1:59,G3,0.101
BL21,wt,JOE2354,0 ng/mL,20-Sep,1:59,H2,0.129
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,1:59,H3,0.102
BL21,wt,JOE2354,5 ng/mL,25-Aug,2:29,F2,0.125
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,2:29,F3,0.1
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,2:29,G2,0.123
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,2:29,G3,0.099
BL21,wt,JOE2354,0 ng/mL,25-Aug,2:29,H2,0.12
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,2:29,H3,0.097
BL21,wt,JOE2354,5 ng/mL,1-Sep,2:29,E2,0.153
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,2:29,E3,0.117
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,2:29,F2,0.15
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,2:29,F3,0.112
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,2:29,G2,0.141
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,2:29,G3,0.109
BL21,wt,JOE2354,0 ng/mL,1-Sep,2:29,H2,0.139
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,2:29,H3,0.111
BL21,wt,JOE2354,5 ng/mL,6-Sep,2:29,E2,0.14
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,2:29,E3,0.103
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,2:29,F2,0.133
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,2:29,F3,0.101
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,2:29,G2,0.129
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,2:29,G3,0.097
BL21,wt,JOE2354,0 ng/mL,6-Sep,2:29,H2,0.13
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,2:29,H3,0.098
BL21,wt,JOE2354,5 ng/mL,20-Sep,2:29,F2,0.178
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,2:29,F3,0.111
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,2:29,G2,0.173
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,2:29,G3,0.106
BL21,wt,JOE2354,0 ng/mL,20-Sep,2:29,H2,0.157
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,2:29,H3,0.106
BL21,wt,JOE2354,5 ng/mL,25-Aug,2:59,F2,0.154
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,2:59,F3,0.106
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,2:59,G2,0.149
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,2:59,G3,0.104
BL21,wt,JOE2354,0 ng/mL,25-Aug,2:59,H2,0.144
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,2:59,H3,0.102
BL21,wt,JOE2354,5 ng/mL,1-Sep,2:59,E2,0.202
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,2:59,E3,0.134
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,2:59,F2,0.196
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,2:59,F3,0.128
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,2:59,G2,0.184
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,2:59,G3,0.124
BL21,wt,JOE2354,0 ng/mL,1-Sep,2:59,H2,0.179
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,2:59,H3,0.125
BL21,wt,JOE2354,5 ng/mL,6-Sep,2:59,E2,0.183
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,2:59,E3,0.111
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,2:59,F2,0.173
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,2:59,F3,0.109
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,2:59,G2,0.166
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,2:59,G3,0.104
BL21,wt,JOE2354,0 ng/mL,6-Sep,2:59,H2,0.165
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,2:59,H3,0.105
BL21,wt,JOE2354,5 ng/mL,20-Sep,2:59,F2,0.236
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,2:59,F3,0.122
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,2:59,G2,0.233
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,2:59,G3,0.115
BL21,wt,JOE2354,0 ng/mL,20-Sep,2:59,H2,0.213
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,2:59,H3,0.115
BL21,wt,JOE2354,5 ng/mL,25-Aug,3:29,F2,0.199
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,3:29,F3,0.116
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,3:29,G2,0.193
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,3:29,G3,0.114
BL21,wt,JOE2354,0 ng/mL,25-Aug,3:29,H2,0.187
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,3:29,H3,0.111
BL21,wt,JOE2354,5 ng/mL,1-Sep,3:29,E2,0.273
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,3:29,E3,0.16
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,3:29,F2,0.27
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,3:29,F3,0.156
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,3:29,G2,0.253
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,3:29,G3,0.149
BL21,wt,JOE2354,0 ng/mL,1-Sep,3:29,H2,0.247
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,3:29,H3,0.149
BL21,wt,JOE2354,5 ng/mL,6-Sep,3:29,E2,0.253
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,3:29,E3,0.126
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,3:29,F2,0.244
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,3:29,F3,0.122
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,3:29,G2,0.233
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,3:29,G3,0.117
BL21,wt,JOE2354,0 ng/mL,6-Sep,3:29,H2,0.228
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,3:29,H3,0.116
BL21,wt,JOE2354,5 ng/mL,20-Sep,3:29,F2,0.291
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,3:29,F3,0.139
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,3:29,G2,0.303
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,3:29,G3,0.131
BL21,wt,JOE2354,0 ng/mL,20-Sep,3:29,H2,0.289
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,3:29,H3,0.129
BL21,wt,JOE2354,5 ng/mL,25-Aug,3:59,F2,0.258
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,3:59,F3,0.133
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,3:59,G2,0.256
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,3:59,G3,0.13
BL21,wt,JOE2354,0 ng/mL,25-Aug,3:59,H2,0.254
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,3:59,H3,0.128
BL21,wt,JOE2354,5 ng/mL,1-Sep,3:59,E2,0.295
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,3:59,E3,0.199
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,3:59,F2,0.326
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,3:59,F3,0.194
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,3:59,G2,0.322
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,3:59,G3,0.186
BL21,wt,JOE2354,0 ng/mL,1-Sep,3:59,H2,0.32
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,3:59,H3,0.186
