Strain,Mutations,Number/ID,Nor Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,5:59,F2,0.603
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,5:59,F3,0.261
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,5:59,G2,0.712
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,5:59,G3,0.325
BL21,wt,JOE2354,0 ng/mL,1-Sep,5:59,H2,0.755
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,5:59,H3,0.397
BL21,wt,JOE2354,5 ng/mL,6-Sep,5:59,E2,0.313
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,5:59,E3,0.14
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,5:59,F2,0.632
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,5:59,F3,0.211
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,5:59,G2,0.732
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,5:59,G3,0.26
BL21,wt,JOE2354,0 ng/mL,6-Sep,5:59,H2,0.766
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,5:59,H3,0.305
BL21,wt,JOE2354,5 ng/mL,20-Sep,5:59,F2,0.319
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,5:59,F3,0.14
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,5:59,G2,0.587
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,5:59,G3,0.192
BL21,wt,JOE2354,0 ng/mL,20-Sep,5:59,H2,0.912
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,5:59,H3,0.335
BL21,wt,JOE2354,5 ng/mL,25-Aug,6:29,F2,0.293
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,6:29,F3,0.195
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,6:29,G2,0.581
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,6:29,G3,0.252
BL21,wt,JOE2354,0 ng/mL,25-Aug,6:29,H2,0.745
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,6:29,H3,0.337
BL21,wt,JOE2354,5 ng/mL,1-Sep,6:29,E2,0.279
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,6:29,E3,0.16
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,6:29,F2,0.679
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,6:29,F3,0.248
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,6:29,G2,0.811
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,6:29,G3,0.35
BL21,wt,JOE2354,0 ng/mL,1-Sep,6:29,H2,0.838
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,6:29,H3,0.462
BL21,wt,JOE2354,5 ng/mL,6-Sep,6:29,E2,0.323
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,6:29,E3,0.128
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,6:29,F2,0.744
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,6:29,F3,0.222
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,6:29,G2,0.827
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,6:29,G3,0.305
BL21,wt,JOE2354,0 ng/mL,6-Sep,6:29,H2,0.851
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,6:29,H3,0.387
BL21,wt,JOE2354,5 ng/mL,20-Sep,6:29,F2,0.31
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,6:29,F3,0.125
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,6:29,G2,0.638
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,6:29,G3,0.189
BL21,wt,JOE2354,0 ng/mL,20-Sep,6:29,H2,0.98
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,6:29,H3,0.422
BL21,wt,JOE2354,5 ng/mL,25-Aug,6:59,F2,0.301
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,6:59,F3,0.175
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,6:59,G2,0.659
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,6:59,G3,0.252
BL21,wt,JOE2354,0 ng/mL,25-Aug,6:59,H2,0.841
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,6:59,H3,0.401
BL21,wt,JOE2354,5 ng/mL,1-Sep,6:59,E2,0.284
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,6:59,E3,0.143
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,6:59,F2,0.755
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,6:59,F3,0.244
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,6:59,G2,0.867
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,6:59,G3,0.395
BL21,wt,JOE2354,0 ng/mL,1-Sep,6:59,H2,0.886
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,6:59,H3,0.525
BL21,wt,JOE2354,5 ng/mL,6-Sep,6:59,E2,0.35
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,6:59,E3,0.121
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,6:59,F2,0.806
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,6:59,F3,0.239
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,6:59,G2,0.875
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,6:59,G3,0.37
BL21,wt,JOE2354,0 ng/mL,6-Sep,6:59,H2,0.902
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,6:59,H3,0.465
BL21,wt,JOE2354,5 ng/mL,20-Sep,6:59,F2,0.3
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,6:59,F3,0.117
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,6:59,G2,0.687
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,6:59,G3,0.188
BL21,wt,JOE2354,0 ng/mL,20-Sep,6:59,H2,1.025
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,6:59,H3,0.505
BL21,wt,JOE2354,5 ng/mL,25-Aug,7:29,F2,0.307
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,7:29,F3,0.156
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,7:29,G2,0.731
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,7:29,G3,0.256
BL21,wt,JOE2354,0 ng/mL,25-Aug,7:29,H2,0.893
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,7:29,H3,0.465
BL21,wt,JOE2354,5 ng/mL,1-Sep,7:29,E2,0.286
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,7:29,E3,0.132
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,7:29,F2,0.788
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,7:29,F3,0.233
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,7:29,G2,0.912
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,7:29,G3,0.42
BL21,wt,JOE2354,0 ng/mL,1-Sep,7:29,H2,0.929
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,7:29,H3,0.615
BL21,wt,JOE2354,5 ng/mL,6-Sep,7:29,E2,0.369
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,7:29,E3,0.114
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,7:29,F2,0.851
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,7:29,F3,0.263
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,7:29,G2,0.925
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,7:29,G3,0.438
BL21,wt,JOE2354,0 ng/mL,6-Sep,7:29,H2,0.953
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,7:29,H3,0.552
BL21,wt,JOE2354,5 ng/mL,20-Sep,7:29,F2,0.283
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,7:29,F3,0.112
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,7:29,G2,0.729
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,7:29,G3,0.188
BL21,wt,JOE2354,0 ng/mL,20-Sep,7:29,H2,1.075
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,7:29,H3,0.601
BL21,wt,JOE2354,5 ng/mL,25-Aug,7:59,F2,0.309
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,7:59,F3,0.143
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,7:59,G2,0.779
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,7:59,G3,0.264
BL21,wt,JOE2354,0 ng/mL,25-Aug,7:59,H2,0.938
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,7:59,H3,0.535
BL21,wt,JOE2354,5 ng/mL,1-Sep,7:59,E2,0.276
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,7:59,E3,0.125
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,7:59,F2,0.823
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,7:59,F3,0.232
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,7:59,G2,0.95
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,7:59,G3,0.477
BL21,wt,JOE2354,0 ng/mL,1-Sep,7:59,H2,0.974
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,7:59,H3,0.717
BL21,wt,JOE2354,5 ng/mL,6-Sep,7:59,E2,0.398
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,7:59,E3,0.112
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,7:59,F2,0.892
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,7:59,F3,0.297
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,7:59,G2,0.976
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,7:59,G3,0.509
BL21,wt,JOE2354,0 ng/mL,6-Sep,7:59,H2,0.993
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,7:59,H3,0.663
BL21,wt,JOE2354,5 ng/mL,20-Sep,7:59,F2,0.269
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,7:59,F3,0.11
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,7:59,G2,0.786
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,7:59,G3,0.188
BL21,wt,JOE2354,0 ng/mL,20-Sep,7:59,H2,1.104
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,7:59,H3,0.703
BL21,wt,JOE2354,5 ng/mL,25-Aug,8:29,F2,0.307
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,8:29,F3,0.133
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,8:29,G2,0.816
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,8:29,G3,0.272
BL21,wt,JOE2354,0 ng/mL,25-Aug,8:29,H2,0.984
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,8:29,H3,0.621
BL21,wt,JOE2354,5 ng/mL,1-Sep,8:29,E2,0.281
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,8:29,E3,0.121
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,8:29,F2,0.851
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,8:29,F3,0.236
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,8:29,G2,0.989
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,8:29,G3,0.55
BL21,wt,JOE2354,0 ng/mL,1-Sep,8:29,H2,1.002
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,8:29,H3,0.79
BL21,wt,JOE2354,5 ng/mL,6-Sep,8:29,E2,0.413
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,8:29,E3,0.109
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,8:29,F2,0.927
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,8:29,F3,0.327
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,8:29,G2,1.003
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,8:29,G3,0.575
BL21,wt,JOE2354,0 ng/mL,6-Sep,8:29,H2,1.013
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,8:29,H3,0.763
BL21,wt,JOE2354,5 ng/mL,20-Sep,8:29,F2,0.255
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,8:29,F3,0.108
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,8:29,G2,0.813
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,8:29,G3,0.192
BL21,wt,JOE2354,0 ng/mL,20-Sep,8:29,H2,1.136
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,8:29,H3,0.814
BL21,wt,JOE2354,5 ng/mL,25-Aug,8:59,F2,0.31
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,8:59,F3,0.128
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,8:59,G2,0.856
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,8:59,G3,0.292
BL21,wt,JOE2354,0 ng/mL,25-Aug,8:59,H2,1.022
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,8:59,H3,0.731
BL21,wt,JOE2354,5 ng/mL,1-Sep,8:59,E2,0.275
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,8:59,E3,0.118
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,8:59,F2,0.894
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,8:59,F3,0.247
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,8:59,G2,1.015
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,8:59,G3,0.609
BL21,wt,JOE2354,0 ng/mL,1-Sep,8:59,H2,1.03
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,8:59,H3,0.825
BL21,wt,JOE2354,5 ng/mL,6-Sep,8:59,E2,0.429
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,8:59,E3,0.107
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,8:59,F2,0.958
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,8:59,F3,0.352
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,8:59,G2,1.025
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,8:59,G3,0.69
BL21,wt,JOE2354,0 ng/mL,6-Sep,8:59,H2,1.043
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,8:59,H3,0.824
BL21,wt,JOE2354,5 ng/mL,20-Sep,8:59,F2,0.24
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,8:59,F3,0.108
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,8:59,G2,0.843
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,8:59,G3,0.196
BL21,wt,JOE2354,0 ng/mL,20-Sep,8:59,H2,1.17
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,8:59,H3,0.867
BL21,wt,JOE2354,5 ng/mL,25-Aug,9:29,F2,0.315
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,9:29,F3,0.124
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,9:29,G2,0.891
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,9:29,G3,0.305
BL21,wt,JOE2354,0 ng/mL,25-Aug,9:29,H2,1.051
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,9:29,H3,0.781
BL21,wt,JOE2354,5 ng/mL,1-Sep,9:29,E2,0.272
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,9:29,E3,0.116
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,9:29,F2,0.932
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,9:29,F3,0.255
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,9:29,G2,1.041
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,9:29,G3,0.665
BL21,wt,JOE2354,0 ng/mL,1-Sep,9:29,H2,1.052
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,9:29,H3,0.866
BL21,wt,JOE2354,5 ng/mL,6-Sep,9:29,E2,0.449
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,9:29,E3,0.106
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,9:29,F2,0.993
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,9:29,F3,0.39
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,9:29,G2,1.057
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,9:29,G3,0.747
BL21,wt,JOE2354,0 ng/mL,6-Sep,9:29,H2,1.069
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,9:29,H3,0.872
BL21,wt,JOE2354,5 ng/mL,20-Sep,9:29,F2,0.224
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,9:29,F3,0.107
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,9:29,G2,0.87
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,9:29,G3,0.2
BL21,wt,JOE2354,0 ng/mL,20-Sep,9:29,H2,1.183
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,9:29,H3,0.906
BL21,wt,JOE2354,5 ng/mL,25-Aug,9:59,F2,0.317
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,9:59,F3,0.121
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,9:59,G2,0.932
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,9:59,G3,0.317
BL21,wt,JOE2354,0 ng/mL,25-Aug,9:59,H2,1.077
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,9:59,H3,0.82
BL21,wt,JOE2354,5 ng/mL,1-Sep,9:59,E2,0.277
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,9:59,E3,0.114
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,9:59,F2,0.941
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,9:59,F3,0.263
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,9:59,G2,1.06
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,9:59,G3,0.71
BL21,wt,JOE2354,0 ng/mL,1-Sep,9:59,H2,1.065
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,9:59,H3,0.909
BL21,wt,JOE2354,5 ng/mL,6-Sep,9:59,E2,0.453
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,9:59,E3,0.104
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,9:59,F2,1.013
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,9:59,F3,0.431
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,9:59,G2,1.077
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,9:59,G3,0.797
BL21,wt,JOE2354,0 ng/mL,6-Sep,9:59,H2,1.082
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,9:59,H3,0.92
BL21,wt,JOE2354,5 ng/mL,20-Sep,9:59,F2,0.212
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,9:59,F3,0.106
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,9:59,G2,0.885
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,9:59,G3,0.207
BL21,wt,JOE2354,0 ng/mL,20-Sep,9:59,H2,1.192
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,9:59,H3,0.946
BL21,wt,JOE2354,5 ng/mL,25-Aug,10:29,F2,0.32
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,10:29,F3,0.119
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,10:29,G2,0.961
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,10:29,G3,0.336
BL21,wt,JOE2354,0 ng/mL,25-Aug,10:29,H2,1.092
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,10:29,H3,0.851
BL21,wt,JOE2354,5 ng/mL,1-Sep,10:29,E2,0.249
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,10:29,E3,0.113
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,10:29,F2,0.958
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,10:29,F3,0.275
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,10:29,G2,1.073
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,10:29,G3,0.742
BL21,wt,JOE2354,0 ng/mL,1-Sep,10:29,H2,1.075
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,10:29,H3,0.936
BL21,wt,JOE2354,5 ng/mL,6-Sep,10:29,E2,0.461
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,10:29,E3,0.104
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,10:29,F2,1.033
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,10:29,F3,0.472
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,10:29,G2,1.087
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,10:29,G3,0.831
BL21,wt,JOE2354,0 ng/mL,6-Sep,10:29,H2,1.092
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,10:29,H3,0.963
BL21,wt,JOE2354,5 ng/mL,20-Sep,10:29,F2,0.202
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,10:29,F3,0.106
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,10:29,G2,0.903
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,10:29,G3,0.215
BL21,wt,JOE2354,0 ng/mL,20-Sep,10:29,H2,1.192
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,10:29,H3,0.989
BL21,wt,JOE2354,5 ng/mL,25-Aug,10:59,F2,0.314
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,10:59,F3,0.116
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,10:59,G2,0.993
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,10:59,G3,0.351
BL21,wt,JOE2354,0 ng/mL,25-Aug,10:59,H2,1.101
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,10:59,H3,0.891
BL21,wt,JOE2354,5 ng/mL,1-Sep,10:59,E2,0.259
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,10:59,E3,0.111
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,10:59,F2,0.971
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,10:59,F3,0.28
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,10:59,G2,1.079
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,10:59,G3,0.76
BL21,wt,JOE2354,0 ng/mL,1-Sep,10:59,H2,1.082
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,10:59,H3,0.962
BL21,wt,JOE2354,5 ng/mL,6-Sep,10:59,E2,0.466
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,10:59,E3,0.103
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,10:59,F2,1.054
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,10:59,F3,0.519
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,10:59,G2,1.094
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,10:59,G3,0.862
BL21,wt,JOE2354,0 ng/mL,6-Sep,10:59,H2,1.101
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,10:59,H3,0.988
BL21,wt,JOE2354,5 ng/mL,20-Sep,10:59,F2,0.192
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,10:59,F3,0.106
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,10:59,G2,0.929
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,10:59,G3,0.223
BL21,wt,JOE2354,0 ng/mL,20-Sep,10:59,H2,1.2
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,10:59,H3,1.015
BL21,wt,JOE2354,5 ng/mL,25-Aug,11:29,F2,0.314
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,11:29,F3,0.116
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,11:29,G2,1.01
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,11:29,G3,0.368
BL21,wt,JOE2354,0 ng/mL,25-Aug,11:29,H2,1.107
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,11:29,H3,0.924
BL21,wt,JOE2354,5 ng/mL,1-Sep,11:29,E2,0.236
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,11:29,E3,0.111
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,11:29,F2,0.998
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,11:29,F3,0.286
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,11:29,G2,1.086
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,11:29,G3,0.79
BL21,wt,JOE2354,0 ng/mL,1-Sep,11:29,H2,1.087
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,11:29,H3,0.98
BL21,wt,JOE2354,5 ng/mL,6-Sep,11:29,E2,0.466
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,11:29,E3,0.103
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,11:29,F2,1.067
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,11:29,F3,0.551
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,11:29,G2,1.1
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,11:29,G3,0.894
BL21,wt,JOE2354,0 ng/mL,6-Sep,11:29,H2,1.106
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,11:29,H3,1.013
BL21,wt,JOE2354,5 ng/mL,20-Sep,11:29,F2,0.181
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,11:29,F3,0.106
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,11:29,G2,0.953
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,11:29,G3,0.232
BL21,wt,JOE2354,0 ng/mL,20-Sep,11:29,H2,1.204
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,11:29,H3,1.034
BL21,wt,JOE2354,5 ng/mL,25-Aug,11:59,F2,0.312
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,11:59,F3,0.115
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,11:59,G2,1.03
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,11:59,G3,0.386
BL21,wt,JOE2354,0 ng/mL,25-Aug,11:59,H2,1.119
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,11:59,H3,0.951
BL21,wt,JOE2354,5 ng/mL,1-Sep,11:59,E2,0.233
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,11:59,E3,0.11
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,11:59,F2,1.031
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,11:59,F3,0.294
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,11:59,G2,1.092
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,11:59,G3,0.817
BL21,wt,JOE2354,0 ng/mL,1-Sep,11:59,H2,1.092
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,11:59,H3,0.991
BL21,wt,JOE2354,5 ng/mL,6-Sep,11:59,E2,0.466
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,11:59,E3,0.103
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,11:59,F2,1.08
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,11:59,F3,0.582
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,11:59,G2,1.107
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,11:59,G3,0.921
BL21,wt,JOE2354,0 ng/mL,6-Sep,11:59,H2,1.113
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,11:59,H3,1.031
